team,department,subdepartment,employee,title
bal,Major League Baseball Operations,None,Bill Wilkes,"Manager, Baseball Operations"
bal,Major League Baseball Operations,None,Kevin Buck,"Coordinator, Team Travel"
bal,Major League Baseball Operations,None,Christopher Guth,Equipment Manager (Home)
bal,Major League Baseball Operations,None,Frederick Tyler,Equipment Manager (Road)
bal,Major League Baseball Operations,None,James W. Tyler,Umpire Room Manager
bal,Major League Baseball Operations,None,"Irving ""Bunny"" German",Assistant Equipment Manager
bal,Scouting,None,Fred Ferreira,"Executive Director, International Recruiting"
bal,Scouting,None,Gary Rajsich,"Director, Scouting"
bal,Scouting,None,Mike Snyder,"Assistant Director, Player Personnel"
bal,Scouting,None,Matthew Koizim,"Coordinator, Professional Scouting"
bal,Scouting,None,Bradley Ciolek,"Administrator, Scouting"
bal,Player Development,None,John Stockstill,"Director, Player Personnel"
bal,Player Development,None,Rick Peterson,"Director, Pitching Development"
bal,Player Development,None,Kent Qualls,Director of Minor League Operations
bal,Player Development,None,Brian Graham,Director of Player Development
bal,Player Development,None,Lance Cox,"Coordinator, Player Development"
bal,Player Development,None,Jeff Manto,"Coordinator, Minor League Hitting"
bal,Player Development,None,Maria Arellano,"Coordinator, Minor League Administration"
bal,Analytics,None,Thomas Duncan,Player Information Analyst
bal,Analytics,None,Sarah Gelles,"Coordinator, Baseball Analytics"
bal,Analytics,None,Michael Silverman,"Coordinator, Video"
bal,Analytics,None,Ben Werthan,"Coordinator, Advance Scouting"
bal,Medical Staff,None,Richard L. Bancells,Head Athletic Trainer
bal,Medical Staff,None,Brian Ebel,Assistant Athletic Trainer
bal,Medical Staff,None,Joseph Hogarty,Strength and Conditioning Coach
bal,Medical Staff,None,Dr. William Goldiner,Team Physician/Medical Director
bal,Medical Staff,None,Dr. John Wilckens,Orthopedist
bal,Medical Staff,None,Dr. Gus Livaditis,Dentist
bal,Medical Staff,None,Dr. Elliott Myrowitz,Optometrist
bal,Communications & Marketing,None,Gregory E. Bader,"Vice President, Communications & Marketing"
bal,Communications & Marketing,None,Christina Zizos,"Assistant, Communications and Community Relations"
bal,Communications & Marketing,None,Brian Meyer,"Coordinator, Marketing"
bal,Communications & Marketing,   Public Relations,Monica Barlow,"Director, Public Relations"
bal,Communications & Marketing,   Public Relations,Jeff Lantz,"Manager, Media Relations"
bal,Communications & Marketing,   Public Relations,Jay Moskowitz,"Coordinator, Baseball Information"
bal,Communications & Marketing,   Public Relations,Amanda Sarver,"Coordinator, Public Relations and New Media"
bal,Communications & Marketing,   Public Relations,Todd Olszewski,Team Photographer
bal,Communications & Marketing,   Public Relations,Julie Ludwig,Graphic Designer
bal,Communications & Marketing,   Community Relations & Promotions,Kristen Schultz,"Director, Community Relations & Promotions"
bal,Communications & Marketing,   Community Relations & Promotions,Anastasia Daskalakis,"Manager, Promotions & Programs"
bal,Communications & Marketing,   Community Relations & Promotions,Bailey Frye,"Manager, Special Events"
bal,Communications & Marketing,   Community Relations & Promotions,Matthew Death,"Coordinator, Community Relations"
bal,Communications & Marketing,   Community Relations & Promotions,Bill Stetka,"Director, Orioles Alumni"
bal,Communications & Marketing,   Community Relations & Promotions,Steve Freeman,"Manager, Alumni Affairs"
bal,Communications & Marketing,   Community Relations & Promotions,Jennifer Steier,Alumni Affairs Assistant
bal,Communications & Marketing,   Orioles Productions,Mike Stashik,"Director, Orioles Productions"
bal,Communications & Marketing,   Orioles Productions,Bryan Krandle,"Manager, In-Game Entertainment"
bal,Communications & Marketing,   Orioles Productions,Ben Epstein,"Producer, Orioles Productions"
bal,Communications & Marketing,   Orioles Productions,Joseph Kane III,"Video Graphics Coordinator, Orioles Productions"
bal,Communications & Marketing,   Orioles Productions,Heather Bressler,"Coordinator, Game Entertainment"
bal,Communications & Marketing,   Orioles Productions,John Tillmann,Production Specialist
bal,Communications & Marketing,   Orioles Productions,Karen Riddle,"Assistant Coordinator, Game Entertainment"
bal,Communications & Marketing,   Orioles Productions,Ryan Wagner,Public Address Announcer
bal,Florida Operations,   Orioles Productions,David Rovine,"Vice President, Orioles-Sarasota"
bal,Florida Operations,   Orioles Productions,Trevor Markham,Director of Operations
bal,Florida Operations,   Orioles Productions,Rick Meyer ,"Manager, Facilities Operations"
bal,Florida Operations,   Orioles Productions,Amy Tuten,"Manager, Sponsorship Sales"
bal,Florida Operations,   Orioles Productions,Kirsten Ladendorf,"Manager, Catering and Suites"
bal,Florida Operations,   Orioles Productions,Scott Moudry,"Manager, Ticket Operations"
bal,Florida Operations,   Orioles Productions,Tracee Chapman,Florida Operations Assistant
bal,Florida Operations,   Orioles Productions,Dan Thomas,Head Groundskeeper
bal,Florida Operations,   Orioles Productions,Bob Kull,Groundskeeper
bal,Florida Operations,   Orioles Productions,Luis Aguayo,Groundskeeper
bal,Corporate Partnerships,   Orioles Productions,Marco A. Gentile,"Vice President, Corporate Partnerships"
bal,Corporate Partnerships,   Orioles Productions,Ray Naimoli,"Senior Manager, Corporate Partnership Sales"
bal,Corporate Partnerships,   Orioles Productions,Cathy Jerome,"Senior Manager, Partnership Marketing"
bal,Corporate Partnerships,   Orioles Productions,Bill Marriott,"Manager, Corporate Partnership Sales"
bal,Corporate Partnerships,   Orioles Productions,Laura Schiell,"Senior Coordinator, Partnership Marketing"
bal,Corporate Partnerships,   Orioles Productions,Gabi Tapkas,"Coordinator, Corporate Partnerships"
bal,Corporate Partnerships,   Orioles Productions,Adam Cooper,"Coordinator, Partnership Marketing"
bal,Ticketing & Fan Services ,   Orioles Productions,Neil Aloise,"Vice President, Ticketing & Fan Services"
bal,Ticketing & Fan Services ,   Orioles Productions,Mark Hromalik,"Assistant Director, Sales"
bal,Ticketing & Fan Services ,   Orioles Productions,Audrey M. Brown,"Manager, Ticketing"
bal,Ticketing & Fan Services ,   Orioles Productions,Zach Brown,"Manager, Box Office"
bal,Ticketing & Fan Services ,   Orioles Productions,Cory Daniele,"Manager, Party Facilities"
bal,Ticketing & Fan Services ,   Orioles Productions,Matt Dougherty,"Manager, New Sales"
bal,Ticketing & Fan Services ,   Orioles Productions,Matthew P. Dryer,"Manager, Suite Sales"
bal,Ticketing & Fan Services ,   Orioles Productions,Steve Kowalski,"Manager, Systems Inventory and Reporting"
bal,Ticketing & Fan Services ,   Orioles Productions,Scott Rosier,"Manager, Season Plan Sales"
bal,Ticketing & Fan Services ,   Orioles Productions,Bud Verge,"Manager, Fan Services"
bal,Ticketing & Fan Services ,   Orioles Productions,Sue Ellen Hickman,"Coordinator, Tours"
bal,Ticketing & Fan Services ,   Orioles Productions,Janice Kemper,"Coordinator, Printing"
bal,Ticketing & Fan Services ,   Orioles Productions,Chrissie Werzinsky,"Coordinator, Processing"
bal,Ticketing & Fan Services ,   Orioles Productions,Elyse Rowan,"Coordinator, Party Facilities"
bal,Ticketing & Fan Services ,   Orioles Productions,Patrick Fields,Account Executive
bal,Ticketing & Fan Services ,   Orioles Productions,Ryan Kreissig,Account Executive
bal,Ticketing & Fan Services ,   Orioles Productions,Deron Marchant,Account Executive
bal,Ticketing & Fan Services ,   Orioles Productions,Brett Ritchey,Account Executive
bal,Ticketing & Fan Services ,   Orioles Productions,Barry Bingaman,Season Plan Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,Ryan D. Fox,Season Plan Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,"Carlos Gollahon, Jr. ",Season Plan Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,Joyce J. Noto,Season Plan Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,Jacqueline Lee Olup,Season Plan Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,Eric Wickenheiser,Season Plan Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,Jason Mathias,Season Plan Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,Megan Wright,Group Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,Ren R. Wechsler,Group Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,Tehya Mockapetris,Group Sales Representative
bal,Ticketing & Fan Services ,   Orioles Productions,Joi Adams,Main Reception
bal,Ticketing & Fan Services ,   Orioles Productions,Tracy Silwick,Administrative Assistant
bal,Ticketing & Fan Services ,   Orioles Productions,"Karen Baer, Rich Bartkowski, Jim Carnaggio, Joe Carnaggio, Ena Clarke, Bob Cooney, Eric Feinblatt, Pam Fields, Tish Garrett, Aline Gollahon, Michael Heid, Thom Hitzelberger, Kandy Kepner, Cheryl Lawrence, Susan Rowell, Don Sapp, David Tumminello",Senior Staff
bal,Ticketing & Fan Services ,   Orioles Productions,"Debbie Cole, Sharon Hunt, Martin Josie, Brad Kirkley, Marty Shifrin",Fan Services Representatives
bal,Ticketing & Fan Services ,   Ballpark Operations,Kevin Cummings,"Director, Ballpark Operations"
bal,Ticketing & Fan Services ,   Ballpark Operations,Jack Webb,"Manager, Ballpark Operations"
bal,Ticketing & Fan Services ,   Ballpark Operations,Alison McAvoy,"Manager, Event Operations"
bal,Ticketing & Fan Services ,   Ballpark Operations,Lamont Williams,Mail Room
bal,Ticketing & Fan Services ,   Ballpark Operations,Mako Alexander,Mail Room Assistant
bal,Ticketing & Fan Services ,   Ballpark Operations,Nicole McFadyen,Head Groundskeeper
bal,Ticketing & Fan Services ,   Ballpark Operations,Nick Rozdilski,Assistant Groundskeeper
bal,Ticketing & Fan Services ,   Ballpark Operations,Thomas Kirsch,Assistant Groundskeeper
bal,Ticketing & Fan Services ,   Food Services,Tom Orszulak,"Director, Food Services"
was,Principal Owners,None,Theodore N. Lerner,Managing Principal Owner
was,Principal Owners,None,Annette M. Lerner,Principal Owner
was,Principal Owners,None,Mark D. Lerner,Principal Owner
was,Principal Owners,None,Marla Lerner Tanenbaum,Principal Owner
was,Principal Owners,None,Debra Lerner Cohen,Principal Owner
was,Principal Owners,None,Robert K. Tanenbaum,Principal Owner
was,Principal Owners,None,Edward L. Cohen,Principal Owner
was,Principal Owners,None,Judy Lenkin Lerner,Principal Owner
was,Founding Partners,None,Paxton K. Baker,Founding Partner
was,Founding Partners,None,James T. Brown,Founding Partner
was,Founding Partners,None,Faye F. Fields,Founding Partner
was,Founding Partners,None,"Alphonso Maldon, Jr.",Founding Partner
was,Founding Partners,None,B. Doyle Mitchell,Founding Partner
was,Founding Partners,None,Raul R. Romero,Founding Partner
was,Founding Partners,None,Rodney E. Slater,Founding Partner
was,Partners,None,Fredrick D. Schaufeld,Partner
was,Partners,None,Clifford A. White,Partner
was,Partners,None,Anthony P. Nader,Partner
was,Partners,None,Jonathan Ginns,Partner
was,Partners,None,David Dupree,Partner
was,Partners,None,"John W. ""Squire"" Galbreath",Partner
was,Partners,None,Arthur N. Fuccillo,Partner
was,Partners,None,Jacob K. Schwalb,Partner
was,Partners,None,Harris L. Schwalb,Partner
was,Partners,None,Michael A. Schwalb,Partner
was,Partners,None,Alan H. Gottlieb,Partner
was,Partners,None,Lori A. Creasy,Partner
was,Partners,None,Margaret M. Mekenie,Partner
was,Partners,None,Fred S. Zeidman,Partner
was,Executive Management,None,Alan Gottlieb,"Chief Operating Officer, Lerner Sports"
was,Executive Management,None,Valerie Camillo,Chief Revenue & Marketing Officer
was,Executive Management,None,Lori Creasy,Chief Financial Officer
was,Executive Management,None,Elise Holman,"Senior Vice President, Administration"
was,Executive Management,None,Brittany Allen,Executive Assistant & Office Services Supervisor
was,Baseball Operations,None,Mike Rizzo,President of Baseball Operations & General Manager
was,Baseball Operations,Major League,Bob Boone,"Vice President, Player Personnel"
was,Baseball Operations,Major League,Doug Harris,"Assistant General Manager & Vice President, Player Development"
was,Baseball Operations,Major League,Bryan Minniti,Assistant General Manager
was,Baseball Operations,Major League,Phillip Rizzo,Senior Advisor to the General Manager
was,Baseball Operations,Major League,Harolyn Cardozo,"Special Assistant to the General Manager, Major League Administration"
was,Baseball Operations,Major League,Rob McDonald,"Vice President, Clubhouse Operations & Team Travel"
was,Baseball Operations,Major League,Kris Kline,"Assistant General Manager & Vice President, Scouting Operations"
was,Baseball Operations,Major League,Ryan Wiebe,"Assistant, Clubhouse & Team Travel"
was,Baseball Operations,Major League,Adam Cromie,"Director, Baseball Operations"
was,Baseball Operations,Major League,Aron Weston,"Assistant, Baseball Operations"
was,Baseball Operations,Major League,Davey Johnson,"Consultant, Baseball Operations"
was,Baseball Operations,Major League,Samuel Mondry-Cohen,Baseball Analytics Manager
was,Baseball Operations,Major League,Michael DeBartolo,Baseball Operations Analyst
was,Baseball Operations,Major League,Mike Wallace,Clubhouse & Equipment Manager
was,Baseball Operations,Major League,Matt Rosenthal,Clubhouse Manager - Visiting Clubhouse
was,Baseball Operations,Major League,Dan Wallin,Equipment Coordinator
was,Baseball Operations,Major League,Darwin Beacham,Clubhouse Assitant
was,Baseball Operations,Major League,Andrew Melnick,Clubhouse Assitant
was,Baseball Operations,Major League,Dr. Wiemi Douoguih,Medical Director and Head Team Physician
was,Baseball Operations,Major League,Lee Kuntz,Head Athletic Trainer
was,Baseball Operations,Major League,Steve Gober,Assistant Athletic Trainer
was,Baseball Operations,Major League,John Hsu,Medical Staff Assistant
was,Baseball Operations,Major League,Dr. Dennis Cullen,Team Physician & Internist
was,Baseball Operations,Major League,Dr. Bruce Thomas,"Team Physician, Florida"
was,Baseball Operations,Major League,John Philbin,Strength & Conditioning Coach
was,Baseball Operations,Major League,Matt Eiden,Assistant Strength & Conditioning Coach
was,Baseball Operations,Major League,Angela T. Gordon,Physical Therapist
was,Baseball Operations,Major League,Kwang Han,Physical Therapist
was,Baseball Operations,Major League,Patrick Panico,Massage Therapist
was,Baseball Operations,Major League,"Dr. Hirad Bagy, D.C.",Team Chiropractor
was,Baseball Operations,Major League,"Dr. Keith Smithson, O.D.",Team Optometrist
was,Baseball Operations,Major League,"Dr. Hugo Bonilla, DDS, MS",Team Dentist
was,Baseball Operations,Major League,"Leslie Bonci, MPH, RD, CSSD, LDN",Team Nutritionist
was,Baseball Operations,Major League,Frank Jans,EAP Coordinator
was,Baseball Operations,Major League,"Dr. Jack Llewellyn, Ph.D.",Team Sports Psychologist
was,Baseball Operations,Scouting,Bill Singer,"Director, Pro-Scouting"
was,Baseball Operations,Scouting,Johnny DiPuglia,"Director, International Scouting"
was,Baseball Operations,Scouting,Kasey McKeon,"Director, Player Procurement"
was,Baseball Operations,Scouting,Deric Ladnier,Special Assistant to the General Manager
was,Baseball Operations,Scouting,Ron Rizzi,Special Assistant to the General Manager
was,Baseball Operations,Scouting,Jay Robertson,Special Assistant to the General Manager
was,Baseball Operations,Scouting,Bob Schaefer,Special Assistant to the General Manager
was,Baseball Operations,Scouting,Erick Dalton,"Coordinator, Advance Scouting & Video"
was,Baseball Operations,Scouting,Taisuke Sato,"Assistant, International Scouting"
was,Baseball Operations,Scouting,Christopher Rosenbaum,"Assistant, Advance Scouting"
was,Baseball Operations,Scouting,Eddie Longosz,"Assistant, Scouting"
was,Baseball Operations,Player Development,Mark Scialabba,"Director, Player Development"
was,Baseball Operations,Player Development,Ryan Thomas,"Assistant Director, Minor League Operations"
was,Baseball Operations,Player Development,JJ Estevez,"Assistant, Player Development"
was,Ballpark Operations,Player Development,Frank Gambino,"Vice President, Facilities"
was,Ballpark Operations,Player Development,Adam Lasky,"Director, Ballpark Operations"
was,Ballpark Operations,Player Development,Jeff McClelland,Ballpark Operations Accounting/Micro Main Manager
was,Ballpark Operations,Player Development,Michelle Valdez,"Coordinator, Ballpark Operations"
was,Ballpark Operations,Groundskeeping,John Turnour,Head Groundskeeper
was,Ballpark Operations,Groundskeeping,Matt Coates,Assistant Head Groundskeeper
was,Ballpark Operations,Groundskeeping,"Stephen King, Jr.",Assistant Groundskeeper
was,Ballpark Operations,Security,Stewart Branam,"Director, Security"
was,Ballpark Operations,Security,Kathleen Costello,"Assistant Manager, Security"
was,Ballpark Operations,Security,Ricardo Durham,Loading Dock Coordinator
was,Ballpark Operations,Security,Lamar Graham,"Supervisor, Security"
was,Ballpark Operations,Security,Danielle Harris,"Supervisor, Security"
was,Ballpark Operations,Security,Quentin McNeil,"Supervisor, Security"
was,Ballpark Operations,Security,Jayme Dixon,"Officer, Special Police"
was,Ballpark Operations,Security,Marlin Donaldson,"Officer, Special Police"
was,Ballpark Operations,Security,Steven Halla,"Officer, Special Police"
was,Ballpark Operations,Security,Michael Hatcher,"Officer, Special Police"
was,Ballpark Operations,Security,Michael Maddox,"Officer, Special Police"
was,Ballpark Operations,Security,Theron McNeely,"Officer, Special Police"
was,Ballpark Operations,Security,Richard Kirby,"Officer, Special Police"
was,Ballpark Operations,Security,Dennis Scott,"Officer, Special Police"
was,Ballpark Operations,Security,Keith Watson,"Officer, Special Police"
was,Ballpark Operations,Security,Andre Whitehead,"Officer, Special Police"
was,Ballpark Operations,Security,Eureka Williams,"Officer, Special Police"
was,Ballpark Operations,Security,Shenise Witherspoon,"Officer, Special Police"
was,Ballpark Operations,Security,John Wood,"Officer, Special Police"
was,Ballpark Operations,Facility Management,Mark Carlson,"Director, Facilities"
was,Ballpark Operations,Facility Management,John Kimble,"Manager, Building Systems"
was,Ballpark Operations,Facility Management,Rasel Ahmed,Electrician
was,Ballpark Operations,Facility Management,Kevin Sharp,Electrician
was,Ballpark Operations,Facility Management,William Sims,Electrician
was,Ballpark Operations,Facility Management,Barry Allen,"HVAC, Team Lead "
was,Ballpark Operations,Facility Management,Awad Ali,HVAC Technician
was,Ballpark Operations,Facility Management,Steve Goodin,HVAC Technician
was,Ballpark Operations,Facility Management,Jerry Moncrieffe,Plumber
was,Ballpark Operations,Facility Management,Charles Hinds,"Manager, Building Infrastructure"
was,Ballpark Operations,Facility Management,Wesley Snyder,Carpenter
was,Ballpark Operations,Facility Management,Charles Hritz,"Helper, Carpeneter"
was,Ballpark Operations,Facility Management,DeJuan Adams,"Helper, Plumbing"
was,Ballpark Operations,Facility Management,Devon Efford,"Helper, HVAC"
was,Ballpark Operations,Facility Management,Nathaniel Fowler,Lead Maintenance Mechanic
was,Ballpark Operations,Facility Management,Rosemary Mills,Maintenance Mechanic
was,Ballpark Operations,Facility Management,Terrell Wesley,Maintenance Mechanic
was,Ballpark Operations,Facility Management,Christopher Robinson,Maintenance Mechanic
was,Ballpark Operations,Facility Management,Gary Baggott,"Painter, Team Lead "
was,Ballpark Operations,Facility Management,"Joseph Baggott, Sr.",Painter
was,Ballpark Operations,Facility Management,Zosimo Palomino,Painter
was,Ballpark Operations,Facility Management,Angella Kirby,"AV, Team Lead "
was,Business Strategy & Analytics,Facility Management,Britton Miller,"Sr. Director, Business Development & Innovation"
was,Business Strategy & Analytics,Facility Management,Scott Lewis,"Sr. Director, Strategic Analytics"
was,Business Strategy & Analytics,Facility Management,Thomas Kildahl,"Account Executive, Virtual Ticketing"
was,Business Strategy & Analytics,Facility Management,Lisa Youngentob,"Coordinator, Business Strategy and Analytics"
was,Ballpark Enterprises & Guest Experience,Facility Management,Catherine Silver,"Vice President, Ballpark Enterprises & Guest Experience"
was,Ballpark Enterprises & Guest Experience,Facility Management,Maggie Gessner,"Senior Director, Ballpark Enterprises"
was,Ballpark Enterprises & Guest Experience,Facility Management,Jonathan Stahl,"Senior Director, Guest Experience & Hospitality Operations"
was,Ballpark Enterprises & Guest Experience,Facility Management,Maurice Ruffin,"Senior Manager, Guest Experience"
was,Ballpark Enterprises & Guest Experience,Facility Management,Billy Langenstein,"Senior Manager, Guest Experience Operations"
was,Ballpark Enterprises & Guest Experience,Facility Management,Lisa Marie Czop,"Senior Manager, Operations"
was,Ballpark Enterprises & Guest Experience,Facility Management,April Grimmig,"Account Manager, Ballpark Enterprises"
was,Ballpark Enterprises & Guest Experience,Facility Management,Melissa Smith,"Account Manager, Ballpark Enterprises"
was,Ballpark Enterprises & Guest Experience,Facility Management,James Perkins,"Account Manager, VIP, Ownership, and Client Services"
was,Ballpark Enterprises & Guest Experience,Facility Management,Alexa McCarthy,"Account Executive, Ballpark Enterprises"
was,Ballpark Enterprises & Guest Experience,Facility Management,Charlie White,"Coordinator, Guest Experience Operations"
was,Corporate Partnerships,Facility Management,John Knebel,
was,Corporate Partnerships,Facility Management,Mike Berry,"Director, Corporate Partnerships"
was,Corporate Partnerships,Facility Management,Kevin Hill,"Director, Sponsorship Activation"
was,Corporate Partnerships,Facility Management,Samuel Cole,"Senior Manager, Corporate Partnerships"
was,Corporate Partnerships,Facility Management,Matt Lemire,"Senior Manager, Corporate Partnerships"
was,Corporate Partnerships,Facility Management,Sarah Keep,"Senior Manager, Sponsorship Activation"
was,Corporate Partnerships,Facility Management,Matthew Rohan,"Manager, Corporate Partnerships"
was,Corporate Partnerships,Facility Management,Fernanda Garcia,"Manager, Sponsorship Activation"
was,Corporate Partnerships,Facility Management,Julia Stoiber,"Manager, Sponsorship Activation"
was,Corporate Partnerships,Facility Management,Meghan Carfang,"Coordinator, Corporate Partnerships"
was,Marketing & Broadcasting,Facility Management,John Guagliano,"Vice President, Marketing & Broadcasting"
was,Marketing & Broadcasting,Facility Management,Jacqueline Coleman,"Executive Director, Production, Entertainment & Promotions"
was,Marketing & Broadcasting,Facility Management,Scott Lewis,"Senior Director, Consumer Marketing"
was,Marketing & Broadcasting,Facility Management,Lauren Benson,"Coordinator, Consumer Marketing"
was,Marketing & Broadcasting,Facility Management,Amanda Hauge,"Manager, Promotions & Events"
was,Marketing & Broadcasting,Facility Management,Lindsey Norris,"Coordinator, Promotions & Events"
was,Marketing & Broadcasting,Facility Management,Dave Lundin,"Director, Production & Operations"
was,Marketing & Broadcasting,Facility Management,Benjamin Smith,Producer
was,Marketing & Broadcasting,Facility Management,Emilee Harris,Production Specialist
was,Marketing & Broadcasting,Facility Management,Matt Dirksen,Senior Editor
was,Marketing & Broadcasting,Facility Management,Chad Kurz,"Senior Director, Creative, Digital & Brand Strategy"
was,Marketing & Broadcasting,Facility Management,Jessica Molina,"Manager, Creative Projects"
was,Marketing & Broadcasting,Facility Management,Kelly Bowse,Senior Designer
was,Marketing & Broadcasting,Facility Management,Mike Feigen,"Copywriter & Manager, Digital Publications"
was,Marketing & Broadcasting,Facility Management,Thomas Davis,"Senior Manager, Entertainment"
was,Marketing & Broadcasting,Facility Management,Susan Lawler,"Manager, Advertising"
was,Marketing & Broadcasting,Facility Management,Corey Inganamort,Mascot Coordinator
was,Marketing & Broadcasting,Facility Management,Megan Garner,"Manager,  Marketing & Broadcasting"
was,Marketing & Broadcasting,Facility Management,Raymond Smith,"Coordinator, Mobile Marketing "
was,Marketing & Broadcasting,Facility Management,Jessica Baruch,"Coordinator, Marketing & Broadcasting "
was,Marketing & Broadcasting,Facility Management,Matthew Bernstein,"Assistant, Marketing & Retail"
was,Ticket Sales & Client Services,Facility Management,Chris Gargani,"Vice President and Managing Director, Ticket Sales & Client Services"
was,Ticket Sales & Client Services,Ticket Sales,David McElwee,"Senior Director, Ticket Sales"
was,Ticket Sales & Client Services,Ticket Sales,Kevin Nawrocki,"Senior Account Executive, Ticket Sales"
was,Ticket Sales & Client Services,Ticket Sales,Karl Micka-Foos,"Account Manager, Organizational Sales"
was,Ticket Sales & Client Services,Ticket Sales,Andrew Ascienzo,"Account Executive, Ticket Sales"
was,Ticket Sales & Client Services,Ticket Sales,Erica Bledsoe,"Account Executive, Ticket Sales"
was,Ticket Sales & Client Services,Ticket Sales,Nick Doenges,"Account Executive, Ticket Sales"
was,Ticket Sales & Client Services,Ticket Sales,Rachel Ekanger,"Account Executive, Ticket Sales"
was,Ticket Sales & Client Services,Ticket Sales,Kirsten Melander,"Account Executive, Ticket Sales"
was,Ticket Sales & Client Services,Ticket Sales,Bryan Miller,"Account Executive, Ticket Sales"
was,Ticket Sales & Client Services,Ticket Sales,Ara Sarajian,"Account Executive, Ticket Sales"
was,Ticket Sales & Client Services,Ticket Sales,Kira Stoutamire,Administrative Assistant
was,Ticket Sales & Client Services,Group Sales,Brian Beck,"Manager, Group Sales"
was,Ticket Sales & Client Services,Group Sales,Katherine Mitchell,"Senior Account Executive, Group Sales"
was,Ticket Sales & Client Services,Group Sales,Adam Froemming,"Account Executive, Group Sales"
was,Ticket Sales & Client Services,Group Sales,Megan Holeman,"Account Executive, Group Sales"
was,Ticket Sales & Client Services,Group Sales,Paul Klein,"Account Executive, Group Sales"
was,Ticket Sales & Client Services,Premium Sales,Michael Shane,"Senior Director, Premium Sales & Service"
was,Ticket Sales & Client Services,Premium Sales,Gregory Foscato,"Account Manager, Premium Sales"
was,Ticket Sales & Client Services,Premium Sales,Chelsey Clifton,"Account Manager, Premium Sales"
was,Ticket Sales & Client Services,Premium Sales,Timothy McCarthy,"Account Manager, Premium Sales"
was,Ticket Sales & Client Services,Inside Sales,Brandon Lapetina,"Manager, Sales Development"
was,Ticket Sales & Client Services,Inside Sales,Alexandra Annear,"Representative, Inside Sales"
was,Ticket Sales & Client Services,Inside Sales,Eric Bernard,"Representative, Inside Sales"
was,Ticket Sales & Client Services,Inside Sales,Scott Mayer,"Representative, Inside Sales"
was,Ticket Sales & Client Services,Inside Sales,J'Von McKinney,"Representative, Inside Sales"
was,Ticket Sales & Client Services,Inside Sales,Sean O'Brien,"Representative, Inside Sales"
was,Ticket Sales & Client Services,Inside Sales,Steve Perry,"Representative, Inside Sales"
was,Ticket Sales & Client Services,Inside Sales,Matthew Rummel,"Representative, Inside Sales"
was,Ticket Sales & Client Services,Inside Sales,Emily Tatum,"Representative, Inside Sales"
was,Ticket Sales & Client Services,Inside Sales,Soo Mee Yoon,"Representative, Inside Sales"
was,Ticket Sales & Client Services,Client Services,Britton Stackhouse Miller,"Senior Director, Client Services and Business Operations"
was,Ticket Sales & Client Services,Client Services,Andy Burns,"Director, Ticket Services"
was,Ticket Sales & Client Services,Client Services,Edward Barlett,"Manager, Client Services"
was,Ticket Sales & Client Services,Client Services,Michael Ogunwumi,"Assistant Manager, Rewards Program"
was,Ticket Sales & Client Services,Client Services,Thomas Kildahl,"Account Executive, Virtual Ticketing"
was,Ticket Sales & Client Services,Client Services,Aneka Carter,"Account Executive, Premium Ticket Services"
was,Ticket Sales & Client Services,Client Services,Charany Hydara,"Account Executive, Premium Ticket Services"
was,Ticket Sales & Client Services,Client Services,Kofi Acquaah,"Account Executive, Season Ticket Services"
was,Ticket Sales & Client Services,Client Services,Maribel Castro,"Account Executive, Season Ticket Services"
was,Ticket Sales & Client Services,Client Services,Joe Meyers,"Account Executive, Season Ticket Services"
was,Ticket Sales & Client Services,Client Services,Kiara O'Bannon,"Account Executive, Season Ticket Services"
was,Ticket Sales & Client Services,Client Services,Devin Perry,"Account Executive, Season Ticket Services"
was,Ticket Sales & Client Services,Client Services,Mary Kate Thayer,"Account Executive, Season Ticket Services"
was,Ticket Sales & Client Services,Client Services,Lisa Youngentob,"Coordinator, Ultimate Ballpark Access"
was,Ticket Sales & Client Services,Ticket Operations,Tom Jackson,"Senior Director, Ticket Operations"
was,Ticket Sales & Client Services,Ticket Operations,Derek Younger,"Director, Ticket Operations"
was,Ticket Sales & Client Services,Ticket Operations,Tyler Hubbard,"Manager, Ticket Operations"
was,Ticket Sales & Client Services,Ticket Operations,Lauren Lafayette,"Manager, Box Office"
was,Ticket Sales & Client Services,Ticket Operations,Alan Borock,Assistant Ticket Manager
was,Ticket Sales & Client Services,Ticket Operations,Lori Murphy,Assistant Ticket Manager
was,Ticket Sales & Client Services,Ticket Operations,Sigismond Nicolls,Assistant Ticket Manager
was,Ticket Sales & Client Services,Ticket Operations,Emily Opalach,Assistant Ticket Manager
was,Ticket Sales & Client Services,Ticket Operations,Michael Zonkowski,Assistant Ticket Manager
was,Communications,Ticket Operations,Joanna Warner,"Senior Director, Corporate Communications"
was,Communications,Ticket Operations,Alexandra Schauffler,"Senior Manager, Corporate Communications"
was,Communications,Ticket Operations,Kyle Mann,"Coordinator, Corporate Communications"
